"","NDVI","Time","model","mon","tbp","xmin"
"1",0.3759,2000.13043478261,NA,NA,2011.08695652174,2010
"2",0.3658,2000.17391304348,NA,NA,2011.08695652174,2010
"3",0.3611,2000.21739130435,NA,NA,2011.08695652174,2010
"4",0.34,2000.26086956522,NA,NA,2011.08695652174,2010
"5",0.1737,2000.30434782609,NA,NA,2011.08695652174,2010
"6",0.6,2000.34782608696,NA,NA,2011.08695652174,2010
"7",0.7401,2000.39130434783,NA,NA,2011.08695652174,2010
"8",0.5623,2000.4347826087,NA,NA,2011.08695652174,2010
"9",0.5856,2000.47826086957,NA,NA,2011.08695652174,2010
"10",0.4116,2000.52173913043,NA,NA,2011.08695652174,2010
"11",0.4956,2000.5652173913,NA,NA,2011.08695652174,2010
"12",0.1617,2000.60869565217,NA,NA,2011.08695652174,2010
"13",0.295,2000.65217391304,NA,NA,2011.08695652174,2010
"14",0.3634,2000.69565217391,NA,NA,2011.08695652174,2010
"15",NA,2000.73913043478,NA,NA,2011.08695652174,2010
"16",0.164,2000.78260869565,NA,NA,2011.08695652174,2010
"17",0.4563,2000.82608695652,NA,NA,2011.08695652174,2010
"18",0.7079,2000.86956521739,NA,NA,2011.08695652174,2010
"19",0.7669,2000.91304347826,NA,NA,2011.08695652174,2010
"20",0.6829,2000.95652173913,NA,NA,2011.08695652174,2010
"21",0.5971,2001,NA,NA,2011.08695652174,2010
"22",0.4725,2001.04347826087,NA,NA,2011.08695652174,2010
"23",0.3897,2001.08695652174,NA,NA,2011.08695652174,2010
"24",0.3495,2001.13043478261,NA,NA,2011.08695652174,2010
"25",0.34,2001.17391304348,NA,NA,2011.08695652174,2010
"26",0.3168,2001.21739130435,NA,NA,2011.08695652174,2010
"27",0.3461,2001.26086956522,NA,NA,2011.08695652174,2010
"28",0.6518,2001.30434782609,NA,NA,2011.08695652174,2010
"29",0.7249,2001.34782608696,NA,NA,2011.08695652174,2010
"30",0.6718,2001.39130434783,NA,NA,2011.08695652174,2010
"31",NA,2001.4347826087,NA,NA,2011.08695652174,2010
"32",0.3817,2001.47826086957,NA,NA,2011.08695652174,2010
"33",0.4827,2001.52173913043,NA,NA,2011.08695652174,2010
"34",0.4836,2001.5652173913,NA,NA,2011.08695652174,2010
"35",0.1597,2001.60869565217,NA,NA,2011.08695652174,2010
"36",0.33,2001.65217391304,NA,NA,2011.08695652174,2010
"37",0.3333,2001.69565217391,NA,NA,2011.08695652174,2010
"38",0.3179,2001.73913043478,NA,NA,2011.08695652174,2010
"39",0.2982,2001.78260869565,NA,NA,2011.08695652174,2010
"40",0.7766,2001.82608695652,NA,NA,2011.08695652174,2010
"41",0.4803,2001.86956521739,NA,NA,2011.08695652174,2010
"42",0.7852,2001.91304347826,NA,NA,2011.08695652174,2010
"43",0.6856,2001.95652173913,NA,NA,2011.08695652174,2010
"44",0.6397,2002,NA,NA,2011.08695652174,2010
"45",0.5529,2002.04347826087,NA,NA,2011.08695652174,2010
"46",0.4239,2002.08695652174,NA,NA,2011.08695652174,2010
"47",0.3745,2002.13043478261,NA,NA,2011.08695652174,2010
"48",0.3381,2002.17391304348,NA,NA,2011.08695652174,2010
"49",0.3235,2002.21739130435,NA,NA,2011.08695652174,2010
"50",0.3113,2002.26086956522,NA,NA,2011.08695652174,2010
