"dip","noisef","nrange","a","dfend","Lhistory","LStablehistory","nrdatamonitor","Tsim","Tmon","Dsim","Dmon","sn"
-0.5,0,0.1,0.3,12,146,146,1,147,147,2006.47826086957,2006.47826086957,2.99998332146019
-0.5,0,0.1,0.3,12,146,146,2,147,147,2006.47826086957,2006.47826086957,2.99998332146019
-0.5,0,0.1,0.3,12,146,146,3,147,147,2006.47826086957,2006.47826086957,2.99998332146019
-0.5,0,0.1,0.3,12,146,146,4,147,147,2006.47826086957,2006.47826086957,2.99998332146019
-0.5,0,0.1,0.3,12,146,146,5,147,147,2006.47826086957,2006.47826086957,2.99998332146019
-0.5,0,0.1,0.3,12,146,146,6,147,147,2006.47826086957,2006.47826086957,2.99998332146019
-0.4,0,0.1,0.3,12,146,146,1,147,147,2006.47826086957,2006.47826086957,2.02854222188253
-0.4,0,0.1,0.3,12,146,146,2,147,147,2006.47826086957,2006.47826086957,2.02854222188253
-0.4,0,0.1,0.3,12,146,146,3,147,147,2006.47826086957,2006.47826086957,2.02854222188253
-0.4,0,0.1,0.3,12,146,146,4,147,147,2006.47826086957,2006.47826086957,2.02854222188253
-0.4,0,0.1,0.3,12,146,146,5,147,147,2006.47826086957,2006.47826086957,2.02854222188253
-0.4,0,0.1,0.3,12,146,146,6,147,147,2006.47826086957,2006.47826086957,2.02854222188253
-0.3,0,0.1,0.3,12,146,146,1,147,NA,2006.47826086957,NA,2.9999833214601
-0.3,0,0.1,0.3,12,146,146,2,147,148,2006.47826086957,2006.52173913043,2.9999833214601
-0.3,0,0.1,0.3,12,146,146,3,147,148,2006.47826086957,2006.52173913043,2.9999833214601
-0.3,0,0.1,0.3,12,146,146,4,147,148,2006.47826086957,2006.52173913043,2.9999833214601
-0.3,0,0.1,0.3,12,146,146,5,147,148,2006.47826086957,2006.52173913043,2.9999833214601
-0.3,0,0.1,0.3,12,146,146,6,147,148,2006.47826086957,2006.52173913043,2.9999833214601
-0.2,0,0.1,0.3,12,146,146,1,147,NA,2006.47826086957,NA,2.99998332146023
-0.2,0,0.1,0.3,12,146,146,2,147,148,2006.47826086957,2006.52173913043,2.99998332146023
-0.2,0,0.1,0.3,12,146,146,3,147,148,2006.47826086957,2006.52173913043,2.99998332146023
-0.2,0,0.1,0.3,12,146,146,4,147,148,2006.47826086957,2006.52173913043,2.99998332146023
-0.2,0,0.1,0.3,12,146,146,5,147,148,2006.47826086957,2006.52173913043,2.99998332146023
-0.2,0,0.1,0.3,12,146,146,6,147,148,2006.47826086957,2006.52173913043,2.99998332146023
-0.1,0,0.1,0.3,12,146,146,1,147,NA,2006.47826086957,NA,1.4999842647642
-0.1,0,0.1,0.3,12,146,146,2,147,NA,2006.47826086957,NA,1.4999842647642
-0.1,0,0.1,0.3,12,146,146,3,147,NA,2006.47826086957,NA,1.4999842647642
-0.1,0,0.1,0.3,12,146,146,4,147,150,2006.47826086957,2006.60869565217,1.4999842647642
-0.1,0,0.1,0.3,12,146,146,5,147,150,2006.47826086957,2006.60869565217,1.4999842647642
-0.1,0,0.1,0.3,12,146,146,6,147,150,2006.47826086957,2006.60869565217,1.4999842647642
0,0,0.1,0.3,12,146,146,1,147,NA,2006.47826086957,NA,2.3269107939053
0,0,0.1,0.3,12,146,146,2,147,NA,2006.47826086957,NA,2.3269107939053
0,0,0.1,0.3,12,146,146,3,147,NA,2006.47826086957,NA,2.3269107939053
0,0,0.1,0.3,12,146,146,4,147,NA,2006.47826086957,NA,2.3269107939053
0,0,0.1,0.3,12,146,146,5,147,NA,2006.47826086957,NA,2.3269107939053
0,0,0.1,0.3,12,146,146,6,147,NA,2006.47826086957,NA,2.3269107939053
-0.5,0.5,0.1143,0.3,12,146,146,1,147,147,2006.47826086957,2006.47826086957,2.72696909068369
-0.5,0.5,0.1143,0.3,12,146,146,2,147,147,2006.47826086957,2006.47826086957,2.72696909068369
-0.5,0.5,0.1143,0.3,12,146,146,3,147,147,2006.47826086957,2006.47826086957,2.72696909068369
-0.5,0.5,0.1143,0.3,12,146,146,4,147,147,2006.47826086957,2006.47826086957,2.72696909068369
-0.5,0.5,0.1143,0.3,12,146,146,5,147,147,2006.47826086957,2006.47826086957,2.72696909068369
-0.5,0.5,0.1143,0.3,12,146,146,6,147,147,2006.47826086957,2006.47826086957,2.72696909068369
-0.4,0.5,0.1174,0.3,12,146,146,1,147,147,2006.47826086957,2006.47826086957,2.58452278466317
-0.4,0.5,0.1174,0.3,12,146,146,2,147,147,2006.47826086957,2006.47826086957,2.58452278466317
-0.4,0.5,0.1174,0.3,12,146,146,3,147,147,2006.47826086957,2006.47826086957,2.58452278466317
-0.4,0.5,0.1174,0.3,12,146,146,4,147,147,2006.47826086957,2006.47826086957,2.58452278466317
-0.4,0.5,0.1174,0.3,12,146,146,5,147,147,2006.47826086957,2006.47826086957,2.58452278466317
-0.4,0.5,0.1174,0.3,12,146,146,6,147,147,2006.47826086957,2006.47826086957,2.58452278466317
-0.3,0.5,0.112,0.3,12,146,146,1,147,NA,2006.47826086957,NA,2.54164527242986
-0.3,0.5,0.112,0.3,12,146,146,2,147,148,2006.47826086957,2006.52173913043,2.54164527242986
-0.3,0.5,0.112,0.3,12,146,146,3,147,148,2006.47826086957,2006.52173913043,2.54164527242986
-0.3,0.5,0.112,0.3,12,146,146,4,147,148,2006.47826086957,2006.52173913043,2.54164527242986
-0.3,0.5,0.112,0.3,12,146,146,5,147,148,2006.47826086957,2006.52173913043,2.54164527242986
-0.3,0.5,0.112,0.3,12,146,146,6,147,148,2006.47826086957,2006.52173913043,2.54164527242986
-0.2,0.5,0.1126,0.3,12,146,19,1,147,NA,2006.47826086957,NA,2.59106409971566
-0.2,0.5,0.1126,0.3,12,146,19,2,147,21,2006.47826086957,2006.52173913043,2.59106409971566
-0.2,0.5,0.1126,0.3,12,146,19,3,147,21,2006.47826086957,2006.52173913043,2.59106409971566
-0.2,0.5,0.1126,0.3,12,146,19,4,147,21,2006.47826086957,2006.52173913043,2.59106409971566
-0.2,0.5,0.1126,0.3,12,146,19,5,147,21,2006.47826086957,2006.52173913043,2.59106409971566
-0.2,0.5,0.1126,0.3,12,146,19,6,147,21,2006.47826086957,2006.52173913043,2.59106409971566
-0.1,0.5,0.1115,0.3,12,146,146,1,147,NA,2006.47826086957,NA,2.6321689778164
-0.1,0.5,0.1115,0.3,12,146,146,2,147,NA,2006.47826086957,NA,2.6321689778164
-0.1,0.5,0.1115,0.3,12,146,146,3,147,NA,2006.47826086957,NA,2.6321689778164
-0.1,0.5,0.1115,0.3,12,146,146,4,147,150,2006.47826086957,2006.60869565217,2.6321689778164
-0.1,0.5,0.1115,0.3,12,146,146,5,147,150,2006.47826086957,2006.60869565217,2.6321689778164
-0.1,0.5,0.1115,0.3,12,146,146,6,147,150,2006.47826086957,2006.60869565217,2.6321689778164
0,0.5,0.1125,0.3,12,146,146,1,147,NA,2006.47826086957,NA,2.76710330467613
0,0.5,0.1125,0.3,12,146,146,2,147,NA,2006.47826086957,NA,2.76710330467613
0,0.5,0.1125,0.3,12,146,146,3,147,NA,2006.47826086957,NA,2.76710330467613
0,0.5,0.1125,0.3,12,146,146,4,147,NA,2006.47826086957,NA,2.76710330467613
0,0.5,0.1125,0.3,12,146,146,5,147,NA,2006.47826086957,NA,2.76710330467613
0,0.5,0.1125,0.3,12,146,146,6,147,NA,2006.47826086957,NA,2.76710330467613
