"dip","noisef","nrange","a","dfend","Lhistory","LStablehistory","nrdatamonitor","Tsim","Tmon","Dsim","Dmon","sn"
-0.5,0,0.1,0.3,12,146,146,1,147,147,2006.47826086957,2006.47826086957,2.01202317448373
-0.5,0,0.1,0.3,12,146,146,2,147,147,2006.47826086957,2006.47826086957,2.01202317448373
-0.5,0,0.1,0.3,12,146,146,3,147,147,2006.47826086957,2006.47826086957,2.01202317448373
-0.5,0,0.1,0.3,12,146,146,4,147,147,2006.47826086957,2006.47826086957,2.01202317448373
-0.5,0,0.1,0.3,12,146,146,5,147,147,2006.47826086957,2006.47826086957,2.01202317448373
-0.5,0,0.1,0.3,12,146,146,6,147,147,2006.47826086957,2006.47826086957,2.01202317448373
-0.4,0,0.1,0.3,12,146,146,1,147,147,2006.47826086957,2006.47826086957,2.01241373711376
-0.4,0,0.1,0.3,12,146,146,2,147,147,2006.47826086957,2006.47826086957,2.01241373711376
-0.4,0,0.1,0.3,12,146,146,3,147,147,2006.47826086957,2006.47826086957,2.01241373711376
-0.4,0,0.1,0.3,12,146,146,4,147,147,2006.47826086957,2006.47826086957,2.01241373711376
-0.4,0,0.1,0.3,12,146,146,5,147,147,2006.47826086957,2006.47826086957,2.01241373711376
-0.4,0,0.1,0.3,12,146,146,6,147,147,2006.47826086957,2006.47826086957,2.01241373711376
-0.3,0,0.1,0.3,12,146,146,1,147,NA,2006.47826086957,NA,1.98953704988399
-0.3,0,0.1,0.3,12,146,146,2,147,148,2006.47826086957,2006.52173913043,1.98953704988399
-0.3,0,0.1,0.3,12,146,146,3,147,148,2006.47826086957,2006.52173913043,1.98953704988399
-0.3,0,0.1,0.3,12,146,146,4,147,148,2006.47826086957,2006.52173913043,1.98953704988399
-0.3,0,0.1,0.3,12,146,146,5,147,148,2006.47826086957,2006.52173913043,1.98953704988399
-0.3,0,0.1,0.3,12,146,146,6,147,148,2006.47826086957,2006.52173913043,1.98953704988399
-0.2,0,0.1,0.3,12,146,146,1,147,NA,2006.47826086957,NA,2.99998332146016
-0.2,0,0.1,0.3,12,146,146,2,147,NA,2006.47826086957,NA,2.99998332146016
-0.2,0,0.1,0.3,12,146,146,3,147,149,2006.47826086957,2006.56521739130,2.99998332146016
-0.2,0,0.1,0.3,12,146,146,4,147,149,2006.47826086957,2006.56521739130,2.99998332146016
-0.2,0,0.1,0.3,12,146,146,5,147,149,2006.47826086957,2006.56521739130,2.99998332146016
-0.2,0,0.1,0.3,12,146,146,6,147,149,2006.47826086957,2006.56521739130,2.99998332146016
-0.1,0,0.1,0.3,12,146,146,1,147,NA,2006.47826086957,NA,1.99993190008085
-0.1,0,0.1,0.3,12,146,146,2,147,NA,2006.47826086957,NA,1.99993190008085
-0.1,0,0.1,0.3,12,146,146,3,147,NA,2006.47826086957,NA,1.99993190008085
-0.1,0,0.1,0.3,12,146,146,4,147,NA,2006.47826086957,NA,1.99993190008085
-0.1,0,0.1,0.3,12,146,146,5,147,151,2006.47826086957,2006.65217391304,1.99993190008085
-0.1,0,0.1,0.3,12,146,146,6,147,151,2006.47826086957,2006.65217391304,1.99993190008085
0,0,0.1,0.3,12,146,146,1,147,NA,2006.47826086957,NA,2.99998332146015
0,0,0.1,0.3,12,146,146,2,147,NA,2006.47826086957,NA,2.99998332146015
0,0,0.1,0.3,12,146,146,3,147,NA,2006.47826086957,NA,2.99998332146015
0,0,0.1,0.3,12,146,146,4,147,NA,2006.47826086957,NA,2.99998332146015
0,0,0.1,0.3,12,146,146,5,147,NA,2006.47826086957,NA,2.99998332146015
0,0,0.1,0.3,12,146,146,6,147,NA,2006.47826086957,NA,2.99998332146015
-0.5,0.5,0.1107,0.3,12,146,146,1,147,147,2006.47826086957,2006.47826086957,2.59343008369323
-0.5,0.5,0.1107,0.3,12,146,146,2,147,147,2006.47826086957,2006.47826086957,2.59343008369323
-0.5,0.5,0.1107,0.3,12,146,146,3,147,147,2006.47826086957,2006.47826086957,2.59343008369323
-0.5,0.5,0.1107,0.3,12,146,146,4,147,147,2006.47826086957,2006.47826086957,2.59343008369323
-0.5,0.5,0.1107,0.3,12,146,146,5,147,147,2006.47826086957,2006.47826086957,2.59343008369323
-0.5,0.5,0.1107,0.3,12,146,146,6,147,147,2006.47826086957,2006.47826086957,2.59343008369323
-0.4,0.5,0.11,0.3,12,146,146,1,147,147,2006.47826086957,2006.47826086957,2.66652770795813
-0.4,0.5,0.11,0.3,12,146,146,2,147,147,2006.47826086957,2006.47826086957,2.66652770795813
-0.4,0.5,0.11,0.3,12,146,146,3,147,147,2006.47826086957,2006.47826086957,2.66652770795813
-0.4,0.5,0.11,0.3,12,146,146,4,147,147,2006.47826086957,2006.47826086957,2.66652770795813
-0.4,0.5,0.11,0.3,12,146,146,5,147,147,2006.47826086957,2006.47826086957,2.66652770795813
-0.4,0.5,0.11,0.3,12,146,146,6,147,147,2006.47826086957,2006.47826086957,2.66652770795813
-0.3,0.5,0.1111,0.3,12,146,146,1,147,147,2006.47826086957,2006.47826086957,2.60254823853086
-0.3,0.5,0.1111,0.3,12,146,146,2,147,147,2006.47826086957,2006.47826086957,2.60254823853086
-0.3,0.5,0.1111,0.3,12,146,146,3,147,147,2006.47826086957,2006.47826086957,2.60254823853086
-0.3,0.5,0.1111,0.3,12,146,146,4,147,147,2006.47826086957,2006.47826086957,2.60254823853086
-0.3,0.5,0.1111,0.3,12,146,146,5,147,147,2006.47826086957,2006.47826086957,2.60254823853086
-0.3,0.5,0.1111,0.3,12,146,146,6,147,147,2006.47826086957,2006.47826086957,2.60254823853086
-0.2,0.5,0.1085,0.3,12,146,146,1,147,NA,2006.47826086957,NA,2.72479561291237
-0.2,0.5,0.1085,0.3,12,146,146,2,147,NA,2006.47826086957,NA,2.72479561291237
-0.2,0.5,0.1085,0.3,12,146,146,3,147,149,2006.47826086957,2006.56521739130,2.72479561291237
-0.2,0.5,0.1085,0.3,12,146,146,4,147,149,2006.47826086957,2006.56521739130,2.72479561291237
-0.2,0.5,0.1085,0.3,12,146,146,5,147,149,2006.47826086957,2006.56521739130,2.72479561291237
-0.2,0.5,0.1085,0.3,12,146,146,6,147,149,2006.47826086957,2006.56521739130,2.72479561291237
-0.1,0.5,0.1175,0.3,12,146,146,1,147,NA,2006.47826086957,NA,2.60458876962327
-0.1,0.5,0.1175,0.3,12,146,146,2,147,NA,2006.47826086957,NA,2.60458876962327
-0.1,0.5,0.1175,0.3,12,146,146,3,147,NA,2006.47826086957,NA,2.60458876962327
-0.1,0.5,0.1175,0.3,12,146,146,4,147,150,2006.47826086957,2006.60869565217,2.60458876962327
-0.1,0.5,0.1175,0.3,12,146,146,5,147,150,2006.47826086957,2006.60869565217,2.60458876962327
-0.1,0.5,0.1175,0.3,12,146,146,6,147,150,2006.47826086957,2006.60869565217,2.60458876962327
