"dip","noisef","nrange","a","dfend","Lhistory","LStablehistory","nrdatamonitor","Tsim","Tmon","Dsim","Dmon","sn"
-0.5,0,0.1,0.3,12,146,22,1,147,23,2006.47826086957,2006.47826086957,2.28978280961861
-0.5,0,0.1,0.3,12,146,22,2,147,23,2006.47826086957,2006.47826086957,2.28978280961861
-0.5,0,0.1,0.3,12,146,22,3,147,23,2006.47826086957,2006.47826086957,2.28978280961861
-0.5,0,0.1,0.3,12,146,22,4,147,23,2006.47826086957,2006.47826086957,2.28978280961861
-0.5,0,0.1,0.3,12,146,22,5,147,23,2006.47826086957,2006.47826086957,2.28978280961861
-0.5,0,0.1,0.3,12,146,22,6,147,23,2006.47826086957,2006.47826086957,2.28978280961861
-0.4,0,0.1,0.3,12,146,146,1,147,NA,2006.47826086957,NA,1.99825975229007
-0.4,0,0.1,0.3,12,146,146,2,147,148,2006.47826086957,2006.52173913043,1.99825975229007
-0.4,0,0.1,0.3,12,146,146,3,147,148,2006.47826086957,2006.52173913043,1.99825975229007
-0.4,0,0.1,0.3,12,146,146,4,147,148,2006.47826086957,2006.52173913043,1.99825975229007
-0.4,0,0.1,0.3,12,146,146,5,147,148,2006.47826086957,2006.52173913043,1.99825975229007
-0.4,0,0.1,0.3,12,146,146,6,147,148,2006.47826086957,2006.52173913043,1.99825975229007
-0.3,0,0.1,0.3,12,146,146,1,147,NA,2006.47826086957,NA,2.99998332146007
-0.3,0,0.1,0.3,12,146,146,2,147,148,2006.47826086957,2006.52173913043,2.99998332146007
-0.3,0,0.1,0.3,12,146,146,3,147,148,2006.47826086957,2006.52173913043,2.99998332146007
-0.3,0,0.1,0.3,12,146,146,4,147,148,2006.47826086957,2006.52173913043,2.99998332146007
-0.3,0,0.1,0.3,12,146,146,5,147,148,2006.47826086957,2006.52173913043,2.99998332146007
-0.3,0,0.1,0.3,12,146,146,6,147,148,2006.47826086957,2006.52173913043,2.99998332146007
-0.2,0,0.1,0.3,12,146,146,1,147,NA,2006.47826086957,NA,2.99998332146031
-0.2,0,0.1,0.3,12,146,146,2,147,148,2006.47826086957,2006.52173913043,2.99998332146031
-0.2,0,0.1,0.3,12,146,146,3,147,148,2006.47826086957,2006.52173913043,2.99998332146031
-0.2,0,0.1,0.3,12,146,146,4,147,148,2006.47826086957,2006.52173913043,2.99998332146031
-0.2,0,0.1,0.3,12,146,146,5,147,148,2006.47826086957,2006.52173913043,2.99998332146031
-0.2,0,0.1,0.3,12,146,146,6,147,148,2006.47826086957,2006.52173913043,2.99998332146031
-0.1,0,0.1,0.3,12,146,146,1,147,NA,2006.47826086957,NA,2.99998332145992
-0.1,0,0.1,0.3,12,146,146,2,147,NA,2006.47826086957,NA,2.99998332145992
-0.1,0,0.1,0.3,12,146,146,3,147,NA,2006.47826086957,NA,2.99998332145992
-0.1,0,0.1,0.3,12,146,146,4,147,NA,2006.47826086957,NA,2.99998332145992
-0.1,0,0.1,0.3,12,146,146,5,147,151,2006.47826086957,2006.65217391304,2.99998332145992
-0.1,0,0.1,0.3,12,146,146,6,147,151,2006.47826086957,2006.65217391304,2.99998332145992
0,0,0.1,0.3,12,146,146,1,147,NA,2006.47826086957,NA,2.33513521272510
0,0,0.1,0.3,12,146,146,2,147,NA,2006.47826086957,NA,2.33513521272510
0,0,0.1,0.3,12,146,146,3,147,NA,2006.47826086957,NA,2.33513521272510
0,0,0.1,0.3,12,146,146,4,147,NA,2006.47826086957,NA,2.33513521272510
0,0,0.1,0.3,12,146,146,5,147,NA,2006.47826086957,NA,2.33513521272510
0,0,0.1,0.3,12,146,146,6,147,NA,2006.47826086957,NA,2.33513521272510
-0.5,0.5,0.1147,0.3,12,146,146,1,147,147,2006.47826086957,2006.47826086957,2.69187791218143
-0.5,0.5,0.1147,0.3,12,146,146,2,147,147,2006.47826086957,2006.47826086957,2.69187791218143
-0.5,0.5,0.1147,0.3,12,146,146,3,147,147,2006.47826086957,2006.47826086957,2.69187791218143
-0.5,0.5,0.1147,0.3,12,146,146,4,147,147,2006.47826086957,2006.47826086957,2.69187791218143
-0.5,0.5,0.1147,0.3,12,146,146,5,147,147,2006.47826086957,2006.47826086957,2.69187791218143
-0.5,0.5,0.1147,0.3,12,146,146,6,147,147,2006.47826086957,2006.47826086957,2.69187791218143
-0.4,0.5,0.11,0.3,12,146,146,1,147,NA,2006.47826086957,NA,2.67126106217825
-0.4,0.5,0.11,0.3,12,146,146,2,147,148,2006.47826086957,2006.52173913043,2.67126106217825
-0.4,0.5,0.11,0.3,12,146,146,3,147,148,2006.47826086957,2006.52173913043,2.67126106217825
-0.4,0.5,0.11,0.3,12,146,146,4,147,148,2006.47826086957,2006.52173913043,2.67126106217825
-0.4,0.5,0.11,0.3,12,146,146,5,147,148,2006.47826086957,2006.52173913043,2.67126106217825
-0.4,0.5,0.11,0.3,12,146,146,6,147,148,2006.47826086957,2006.52173913043,2.67126106217825
-0.3,0.5,0.117,0.3,12,146,146,1,147,NA,2006.47826086957,NA,2.47910351424916
