"dip","noisef","nrange","a","dfend","Lhistory","LStablehistory","nrdatamonitor","Tsim","Tmon","Dsim","Dmon","sn"
-0.5,0,0.1,0.3,12,146,146,1,147,147,2006.47826086957,2006.47826086957,2.99998332146024
-0.5,0,0.1,0.3,12,146,146,2,147,147,2006.47826086957,2006.47826086957,2.99998332146024
-0.5,0,0.1,0.3,12,146,146,3,147,147,2006.47826086957,2006.47826086957,2.99998332146024
-0.5,0,0.1,0.3,12,146,146,4,147,147,2006.47826086957,2006.47826086957,2.99998332146024
-0.5,0,0.1,0.3,12,146,146,5,147,147,2006.47826086957,2006.47826086957,2.99998332146024
-0.5,0,0.1,0.3,12,146,146,6,147,147,2006.47826086957,2006.47826086957,2.99998332146024
-0.4,0,0.1,0.3,12,146,146,1,147,NA,2006.47826086957,NA,2.32692340861795
-0.4,0,0.1,0.3,12,146,146,2,147,148,2006.47826086957,2006.52173913043,2.32692340861795
-0.4,0,0.1,0.3,12,146,146,3,147,148,2006.47826086957,2006.52173913043,2.32692340861795
-0.4,0,0.1,0.3,12,146,146,4,147,148,2006.47826086957,2006.52173913043,2.32692340861795
-0.4,0,0.1,0.3,12,146,146,5,147,148,2006.47826086957,2006.52173913043,2.32692340861795
-0.4,0,0.1,0.3,12,146,146,6,147,148,2006.47826086957,2006.52173913043,2.32692340861795
-0.3,0,0.1,0.3,12,146,25,1,147,NA,2006.47826086957,NA,1.99100035454151
-0.3,0,0.1,0.3,12,146,25,2,147,27,2006.47826086957,2006.52173913043,1.99100035454151
-0.3,0,0.1,0.3,12,146,25,3,147,27,2006.47826086957,2006.52173913043,1.99100035454151
-0.3,0,0.1,0.3,12,146,25,4,147,27,2006.47826086957,2006.52173913043,1.99100035454151
-0.3,0,0.1,0.3,12,146,25,5,147,27,2006.47826086957,2006.52173913043,1.99100035454151
-0.3,0,0.1,0.3,12,146,25,6,147,27,2006.47826086957,2006.52173913043,1.99100035454151
-0.2,0,0.1,0.3,12,146,146,1,147,NA,2006.47826086957,NA,2.99998332146015
-0.2,0,0.1,0.3,12,146,146,2,147,NA,2006.47826086957,NA,2.99998332146015
-0.2,0,0.1,0.3,12,146,146,3,147,149,2006.47826086957,2006.56521739130,2.99998332146015
-0.2,0,0.1,0.3,12,146,146,4,147,149,2006.47826086957,2006.56521739130,2.99998332146015
-0.2,0,0.1,0.3,12,146,146,5,147,149,2006.47826086957,2006.56521739130,2.99998332146015
-0.2,0,0.1,0.3,12,146,146,6,147,149,2006.47826086957,2006.56521739130,2.99998332146015
-0.1,0,0.1,0.3,12,146,24,1,147,NA,2006.47826086957,NA,2.16012479501534
-0.1,0,0.1,0.3,12,146,24,2,147,NA,2006.47826086957,NA,2.16012479501534
-0.1,0,0.1,0.3,12,146,24,3,147,NA,2006.47826086957,NA,2.16012479501534
-0.1,0,0.1,0.3,12,146,24,4,147,NA,2006.47826086957,NA,2.16012479501534
-0.1,0,0.1,0.3,12,146,24,5,147,NA,2006.47826086957,NA,2.16012479501534
-0.1,0,0.1,0.3,12,146,24,6,147,NA,2006.47826086957,NA,2.16012479501534
0,0,0.1,0.3,12,146,146,1,147,NA,2006.47826086957,NA,2.00530697153654
0,0,0.1,0.3,12,146,146,2,147,NA,2006.47826086957,NA,2.00530697153654
0,0,0.1,0.3,12,146,146,3,147,NA,2006.47826086957,NA,2.00530697153654
0,0,0.1,0.3,12,146,146,4,147,NA,2006.47826086957,NA,2.00530697153654
0,0,0.1,0.3,12,146,146,5,147,NA,2006.47826086957,NA,2.00530697153654
0,0,0.1,0.3,12,146,146,6,147,NA,2006.47826086957,NA,2.00530697153654
-0.5,0.5,0.1144,0.3,12,146,146,1,147,147,2006.47826086957,2006.47826086957,2.57495297916278
-0.5,0.5,0.1144,0.3,12,146,146,2,147,147,2006.47826086957,2006.47826086957,2.57495297916278
-0.5,0.5,0.1144,0.3,12,146,146,3,147,147,2006.47826086957,2006.47826086957,2.57495297916278
-0.5,0.5,0.1144,0.3,12,146,146,4,147,147,2006.47826086957,2006.47826086957,2.57495297916278
-0.5,0.5,0.1144,0.3,12,146,146,5,147,147,2006.47826086957,2006.47826086957,2.57495297916278
-0.5,0.5,0.1144,0.3,12,146,146,6,147,147,2006.47826086957,2006.47826086957,2.57495297916278
-0.4,0.5,0.1136,0.3,12,146,123,1,147,124,2006.47826086957,2006.47826086957,2.64840641180602
-0.4,0.5,0.1136,0.3,12,146,123,2,147,124,2006.47826086957,2006.47826086957,2.64840641180602
-0.4,0.5,0.1136,0.3,12,146,123,3,147,124,2006.47826086957,2006.47826086957,2.64840641180602
-0.4,0.5,0.1136,0.3,12,146,123,4,147,124,2006.47826086957,2006.47826086957,2.64840641180602
-0.4,0.5,0.1136,0.3,12,146,123,5,147,124,2006.47826086957,2006.47826086957,2.64840641180602
-0.4,0.5,0.1136,0.3,12,146,123,6,147,124,2006.47826086957,2006.47826086957,2.64840641180602
-0.3,0.5,0.1142,0.3,12,146,146,1,147,NA,2006.47826086957,NA,2.63834338218885
-0.3,0.5,0.1142,0.3,12,146,146,2,147,148,2006.47826086957,2006.52173913043,2.63834338218885
-0.3,0.5,0.1142,0.3,12,146,146,3,147,148,2006.47826086957,2006.52173913043,2.63834338218885
-0.3,0.5,0.1142,0.3,12,146,146,4,147,148,2006.47826086957,2006.52173913043,2.63834338218885
-0.3,0.5,0.1142,0.3,12,146,146,5,147,148,2006.47826086957,2006.52173913043,2.63834338218885
-0.3,0.5,0.1142,0.3,12,146,146,6,147,148,2006.47826086957,2006.52173913043,2.63834338218885
-0.2,0.5,0.1126,0.3,12,146,146,1,147,NA,2006.47826086957,NA,2.66133831808177
-0.2,0.5,0.1126,0.3,12,146,146,2,147,NA,2006.47826086957,NA,2.66133831808177
-0.2,0.5,0.1126,0.3,12,146,146,3,147,149,2006.47826086957,2006.56521739130,2.66133831808177
-0.2,0.5,0.1126,0.3,12,146,146,4,147,149,2006.47826086957,2006.56521739130,2.66133831808177
-0.2,0.5,0.1126,0.3,12,146,146,5,147,149,2006.47826086957,2006.56521739130,2.66133831808177
-0.2,0.5,0.1126,0.3,12,146,146,6,147,149,2006.47826086957,2006.56521739130,2.66133831808177
-0.1,0.5,0.1126,0.3,12,146,146,1,147,NA,2006.47826086957,NA,2.74372212834691
-0.1,0.5,0.1126,0.3,12,146,146,2,147,NA,2006.47826086957,NA,2.74372212834691
-0.1,0.5,0.1126,0.3,12,146,146,3,147,NA,2006.47826086957,NA,2.74372212834691
-0.1,0.5,0.1126,0.3,12,146,146,4,147,NA,2006.47826086957,NA,2.74372212834691
-0.1,0.5,0.1126,0.3,12,146,146,5,147,151,2006.47826086957,2006.65217391304,2.74372212834691
-0.1,0.5,0.1126,0.3,12,146,146,6,147,151,2006.47826086957,2006.65217391304,2.74372212834691
0,0.5,0.1173,0.3,12,146,146,1,147,NA,2006.47826086957,NA,2.50700354095748
0,0.5,0.1173,0.3,12,146,146,2,147,NA,2006.47826086957,NA,2.50700354095748
0,0.5,0.1173,0.3,12,146,146,3,147,NA,2006.47826086957,NA,2.50700354095748
0,0.5,0.1173,0.3,12,146,146,4,147,NA,2006.47826086957,NA,2.50700354095748
0,0.5,0.1173,0.3,12,146,146,5,147,NA,2006.47826086957,NA,2.50700354095748
0,0.5,0.1173,0.3,12,146,146,6,147,NA,2006.47826086957,NA,2.50700354095748
-0.5,1,0.1214,0.3,12,146,146,1,147,147,2006.47826086957,2006.47826086957,2.21101238137469
-0.5,1,0.1214,0.3,12,146,146,2,147,147,2006.47826086957,2006.47826086957,2.21101238137469
-0.5,1,0.1214,0.3,12,146,146,3,147,147,2006.47826086957,2006.47826086957,2.21101238137469
-0.5,1,0.1214,0.3,12,146,146,4,147,147,2006.47826086957,2006.47826086957,2.21101238137469
-0.5,1,0.1214,0.3,12,146,146,5,147,147,2006.47826086957,2006.47826086957,2.21101238137469
-0.5,1,0.1214,0.3,12,146,146,6,147,147,2006.47826086957,2006.47826086957,2.21101238137469
-0.4,1,0.1288,0.3,12,146,146,1,147,NA,2006.47826086957,NA,2.15938461753776
-0.4,1,0.1288,0.3,12,146,146,2,147,148,2006.47826086957,2006.52173913043,2.15938461753776
-0.4,1,0.1288,0.3,12,146,146,3,147,148,2006.47826086957,2006.52173913043,2.15938461753776
-0.4,1,0.1288,0.3,12,146,146,4,147,148,2006.47826086957,2006.52173913043,2.15938461753776
-0.4,1,0.1288,0.3,12,146,146,5,147,148,2006.47826086957,2006.52173913043,2.15938461753776
-0.4,1,0.1288,0.3,12,146,146,6,147,148,2006.47826086957,2006.52173913043,2.15938461753776
-0.3,1,0.1357,0.3,12,146,146,1,147,NA,2006.47826086957,NA,2.36817418882664
-0.3,1,0.1357,0.3,12,146,146,2,147,148,2006.47826086957,2006.52173913043,2.36817418882664
-0.3,1,0.1357,0.3,12,146,146,3,147,148,2006.47826086957,2006.52173913043,2.36817418882664
-0.3,1,0.1357,0.3,12,146,146,4,147,148,2006.47826086957,2006.52173913043,2.36817418882664
-0.3,1,0.1357,0.3,12,146,146,5,147,148,2006.47826086957,2006.52173913043,2.36817418882664
-0.3,1,0.1357,0.3,12,146,146,6,147,148,2006.47826086957,2006.52173913043,2.36817418882664
-0.2,1,0.1394,0.3,12,146,146,1,147,NA,2006.47826086957,NA,2.12404270044064
-0.2,1,0.1394,0.3,12,146,146,2,147,NA,2006.47826086957,NA,2.12404270044064
-0.2,1,0.1394,0.3,12,146,146,3,147,149,2006.47826086957,2006.56521739130,2.12404270044064
-0.2,1,0.1394,0.3,12,146,146,4,147,149,2006.47826086957,2006.56521739130,2.12404270044064
-0.2,1,0.1394,0.3,12,146,146,5,147,149,2006.47826086957,2006.56521739130,2.12404270044064
-0.2,1,0.1394,0.3,12,146,146,6,147,149,2006.47826086957,2006.56521739130,2.12404270044064
-0.1,1,0.125,0.3,12,146,146,1,147,NA,2006.47826086957,NA,2.33403408877502
-0.1,1,0.125,0.3,12,146,146,2,147,NA,2006.47826086957,NA,2.33403408877502
-0.1,1,0.125,0.3,12,146,146,3,147,NA,2006.47826086957,NA,2.33403408877502
