"dip","noisef","nrange","a","dfend","Lhistory","LStablehistory","nrdatamonitor","Tsim","Tmon","Dsim","Dmon","sn"
-0.5,0,0.1,0.3,12,146,146,1,147,147,2006.47826086957,2006.47826086957,2.99998332145930
-0.5,0,0.1,0.3,12,146,146,2,147,147,2006.47826086957,2006.47826086957,2.99998332145930
-0.5,0,0.1,0.3,12,146,146,3,147,147,2006.47826086957,2006.47826086957,2.99998332145930
-0.5,0,0.1,0.3,12,146,146,4,147,147,2006.47826086957,2006.47826086957,2.99998332145930
-0.5,0,0.1,0.3,12,146,146,5,147,147,2006.47826086957,2006.47826086957,2.99998332145930
-0.5,0,0.1,0.3,12,146,146,6,147,147,2006.47826086957,2006.47826086957,2.99998332145930
-0.4,0,0.1,0.3,12,146,146,1,147,147,2006.47826086957,2006.47826086957,2.30772355694446
-0.4,0,0.1,0.3,12,146,146,2,147,147,2006.47826086957,2006.47826086957,2.30772355694446
-0.4,0,0.1,0.3,12,146,146,3,147,147,2006.47826086957,2006.47826086957,2.30772355694446
-0.4,0,0.1,0.3,12,146,146,4,147,147,2006.47826086957,2006.47826086957,2.30772355694446
-0.4,0,0.1,0.3,12,146,146,5,147,147,2006.47826086957,2006.47826086957,2.30772355694446
-0.4,0,0.1,0.3,12,146,146,6,147,147,2006.47826086957,2006.47826086957,2.30772355694446
-0.3,0,0.1,0.3,12,146,146,1,147,NA,2006.47826086957,NA,2.31542062853146
-0.3,0,0.1,0.3,12,146,146,2,147,148,2006.47826086957,2006.52173913043,2.31542062853146
-0.3,0,0.1,0.3,12,146,146,3,147,148,2006.47826086957,2006.52173913043,2.31542062853146
-0.3,0,0.1,0.3,12,146,146,4,147,148,2006.47826086957,2006.52173913043,2.31542062853146
-0.3,0,0.1,0.3,12,146,146,5,147,148,2006.47826086957,2006.52173913043,2.31542062853146
-0.3,0,0.1,0.3,12,146,146,6,147,148,2006.47826086957,2006.52173913043,2.31542062853146
-0.2,0,0.1,0.3,12,146,146,1,147,NA,2006.47826086957,NA,2.34516361753852
-0.2,0,0.1,0.3,12,146,146,2,147,148,2006.47826086957,2006.52173913043,2.34516361753852
-0.2,0,0.1,0.3,12,146,146,3,147,148,2006.47826086957,2006.52173913043,2.34516361753852
-0.2,0,0.1,0.3,12,146,146,4,147,148,2006.47826086957,2006.52173913043,2.34516361753852
-0.2,0,0.1,0.3,12,146,146,5,147,148,2006.47826086957,2006.52173913043,2.34516361753852
-0.2,0,0.1,0.3,12,146,146,6,147,148,2006.47826086957,2006.52173913043,2.34516361753852
-0.1,0,0.1,0.3,12,146,146,1,147,NA,2006.47826086957,NA,2.23579512314625
-0.1,0,0.1,0.3,12,146,146,2,147,NA,2006.47826086957,NA,2.23579512314625
-0.1,0,0.1,0.3,12,146,146,3,147,NA,2006.47826086957,NA,2.23579512314625
-0.1,0,0.1,0.3,12,146,146,4,147,NA,2006.47826086957,NA,2.23579512314625
-0.1,0,0.1,0.3,12,146,146,5,147,151,2006.47826086957,2006.65217391304,2.23579512314625
-0.1,0,0.1,0.3,12,146,146,6,147,151,2006.47826086957,2006.65217391304,2.23579512314625
0,0,0.1,0.3,12,146,146,1,147,NA,2006.47826086957,NA,2.31890679487787
0,0,0.1,0.3,12,146,146,2,147,NA,2006.47826086957,NA,2.31890679487787
0,0,0.1,0.3,12,146,146,3,147,NA,2006.47826086957,NA,2.31890679487787
0,0,0.1,0.3,12,146,146,4,147,NA,2006.47826086957,NA,2.31890679487787
0,0,0.1,0.3,12,146,146,5,147,NA,2006.47826086957,NA,2.31890679487787
0,0,0.1,0.3,12,146,146,6,147,NA,2006.47826086957,NA,2.31890679487787
-0.5,0.5,0.1152,0.3,12,146,146,1,147,147,2006.47826086957,2006.47826086957,1.52746901921701
-0.5,0.5,0.1152,0.3,12,146,146,2,147,147,2006.47826086957,2006.47826086957,1.52746901921701
-0.5,0.5,0.1152,0.3,12,146,146,3,147,147,2006.47826086957,2006.47826086957,1.52746901921701
-0.5,0.5,0.1152,0.3,12,146,146,4,147,147,2006.47826086957,2006.47826086957,1.52746901921701
-0.5,0.5,0.1152,0.3,12,146,146,5,147,147,2006.47826086957,2006.47826086957,1.52746901921701
-0.5,0.5,0.1152,0.3,12,146,146,6,147,147,2006.47826086957,2006.47826086957,1.52746901921701
-0.4,0.5,0.1125,0.3,12,146,146,1,147,147,2006.47826086957,2006.47826086957,2.63718101748451
-0.4,0.5,0.1125,0.3,12,146,146,2,147,147,2006.47826086957,2006.47826086957,2.63718101748451
-0.4,0.5,0.1125,0.3,12,146,146,3,147,147,2006.47826086957,2006.47826086957,2.63718101748451
-0.4,0.5,0.1125,0.3,12,146,146,4,147,147,2006.47826086957,2006.47826086957,2.63718101748451
-0.4,0.5,0.1125,0.3,12,146,146,5,147,147,2006.47826086957,2006.47826086957,2.63718101748451
-0.4,0.5,0.1125,0.3,12,146,146,6,147,147,2006.47826086957,2006.47826086957,2.63718101748451
-0.3,0.5,0.1119,0.3,12,146,20,1,147,21,2006.47826086957,2006.47826086957,2.58279065093158
-0.3,0.5,0.1119,0.3,12,146,20,2,147,21,2006.47826086957,2006.47826086957,2.58279065093158
-0.3,0.5,0.1119,0.3,12,146,20,3,147,21,2006.47826086957,2006.47826086957,2.58279065093158
-0.3,0.5,0.1119,0.3,12,146,20,4,147,21,2006.47826086957,2006.47826086957,2.58279065093158
