"dip","noisef","nrange","a","dfend","Lhistory","LStablehistory","nrdatamonitor","Tsim","Tmon","Dsim","Dmon","sn"
-0.5,0,0.1,0.3,12,146,146,1,147,147,2006.47826086957,2006.47826086957,2.32416901498181
-0.5,0,0.1,0.3,12,146,146,2,147,147,2006.47826086957,2006.47826086957,2.32416901498181
-0.5,0,0.1,0.3,12,146,146,3,147,147,2006.47826086957,2006.47826086957,2.32416901498181
-0.5,0,0.1,0.3,12,146,146,4,147,147,2006.47826086957,2006.47826086957,2.32416901498181
-0.5,0,0.1,0.3,12,146,146,5,147,147,2006.47826086957,2006.47826086957,2.32416901498181
-0.5,0,0.1,0.3,12,146,146,6,147,147,2006.47826086957,2006.47826086957,2.32416901498181
-0.4,0,0.1,0.3,12,146,146,1,147,NA,2006.47826086957,NA,2.30767394149121
-0.4,0,0.1,0.3,12,146,146,2,147,148,2006.47826086957,2006.52173913043,2.30767394149121
-0.4,0,0.1,0.3,12,146,146,3,147,148,2006.47826086957,2006.52173913043,2.30767394149121
-0.4,0,0.1,0.3,12,146,146,4,147,148,2006.47826086957,2006.52173913043,2.30767394149121
-0.4,0,0.1,0.3,12,146,146,5,147,148,2006.47826086957,2006.52173913043,2.30767394149121
-0.4,0,0.1,0.3,12,146,146,6,147,148,2006.47826086957,2006.52173913043,2.30767394149121
-0.3,0,0.1,0.3,12,146,146,1,147,NA,2006.47826086957,NA,2.31823642358885
-0.3,0,0.1,0.3,12,146,146,2,147,148,2006.47826086957,2006.52173913043,2.31823642358885
-0.3,0,0.1,0.3,12,146,146,3,147,148,2006.47826086957,2006.52173913043,2.31823642358885
-0.3,0,0.1,0.3,12,146,146,4,147,148,2006.47826086957,2006.52173913043,2.31823642358885
-0.3,0,0.1,0.3,12,146,146,5,147,148,2006.47826086957,2006.52173913043,2.31823642358885
-0.3,0,0.1,0.3,12,146,146,6,147,148,2006.47826086957,2006.52173913043,2.31823642358885
-0.2,0,0.1,0.3,12,146,146,1,147,NA,2006.47826086957,NA,2.31537752151368
-0.2,0,0.1,0.3,12,146,146,2,147,NA,2006.47826086957,NA,2.31537752151368
-0.2,0,0.1,0.3,12,146,146,3,147,149,2006.47826086957,2006.56521739130,2.31537752151368
-0.2,0,0.1,0.3,12,146,146,4,147,149,2006.47826086957,2006.56521739130,2.31537752151368
-0.2,0,0.1,0.3,12,146,146,5,147,149,2006.47826086957,2006.56521739130,2.31537752151368
-0.2,0,0.1,0.3,12,146,146,6,147,149,2006.47826086957,2006.56521739130,2.31537752151368
-0.1,0,0.1,0.3,12,146,146,1,147,NA,2006.47826086957,NA,2.28546064303698
-0.1,0,0.1,0.3,12,146,146,2,147,NA,2006.47826086957,NA,2.28546064303698
-0.1,0,0.1,0.3,12,146,146,3,147,NA,2006.47826086957,NA,2.28546064303698
-0.1,0,0.1,0.3,12,146,146,4,147,NA,2006.47826086957,NA,2.28546064303698
-0.1,0,0.1,0.3,12,146,146,5,147,151,2006.47826086957,2006.65217391304,2.28546064303698
-0.1,0,0.1,0.3,12,146,146,6,147,151,2006.47826086957,2006.65217391304,2.28546064303698
0,0,0.1,0.3,12,146,146,1,147,NA,2006.47826086957,NA,2.33194043624365
0,0,0.1,0.3,12,146,146,2,147,NA,2006.47826086957,NA,2.33194043624365
0,0,0.1,0.3,12,146,146,3,147,NA,2006.47826086957,NA,2.33194043624365
0,0,0.1,0.3,12,146,146,4,147,NA,2006.47826086957,NA,2.33194043624365
0,0,0.1,0.3,12,146,146,5,147,NA,2006.47826086957,NA,2.33194043624365
0,0,0.1,0.3,12,146,146,6,147,NA,2006.47826086957,NA,2.33194043624365
-0.5,0.5,0.1139,0.3,12,146,146,1,147,147,2006.47826086957,2006.47826086957,2.67673174040938
-0.5,0.5,0.1139,0.3,12,146,146,2,147,147,2006.47826086957,2006.47826086957,2.67673174040938
-0.5,0.5,0.1139,0.3,12,146,146,3,147,147,2006.47826086957,2006.47826086957,2.67673174040938
-0.5,0.5,0.1139,0.3,12,146,146,4,147,147,2006.47826086957,2006.47826086957,2.67673174040938
-0.5,0.5,0.1139,0.3,12,146,146,5,147,147,2006.47826086957,2006.47826086957,2.67673174040938
