"dip","noisef","nrange","a","dfend","Lhistory","LStablehistory","nrdatamonitor","Tsim","Tmon","Dsim","Dmon","sn"
-0.5,0,0.1,0.1,12,146,146,1,147,NA,2006.47826086957,NA,0.999994440486996
-0.5,0,0.1,0.1,12,146,146,2,147,148,2006.47826086957,2006.52173913043,0.999994440486996
-0.5,0,0.1,0.1,12,146,146,3,147,148,2006.47826086957,2006.52173913043,0.999994440486996
-0.5,0,0.1,0.1,12,146,146,4,147,148,2006.47826086957,2006.52173913043,0.999994440486996
-0.5,0,0.1,0.1,12,146,146,5,147,148,2006.47826086957,2006.52173913043,0.999994440486996
-0.5,0,0.1,0.1,12,146,146,6,147,148,2006.47826086957,2006.52173913043,0.999994440486996
-0.4,0,0.1,0.1,12,146,146,1,147,147,2006.47826086957,2006.47826086957,0.999994440486746
-0.4,0,0.1,0.1,12,146,146,2,147,147,2006.47826086957,2006.47826086957,0.999994440486746
-0.4,0,0.1,0.1,12,146,146,3,147,147,2006.47826086957,2006.47826086957,0.999994440486746
-0.4,0,0.1,0.1,12,146,146,4,147,147,2006.47826086957,2006.47826086957,0.999994440486746
-0.4,0,0.1,0.1,12,146,146,5,147,147,2006.47826086957,2006.47826086957,0.999994440486746
-0.4,0,0.1,0.1,12,146,146,6,147,147,2006.47826086957,2006.47826086957,0.999994440486746
-0.3,0,0.1,0.1,12,146,146,1,147,NA,2006.47826086957,NA,0.702988958823452
-0.3,0,0.1,0.1,12,146,146,2,147,148,2006.47826086957,2006.52173913043,0.702988958823452
-0.3,0,0.1,0.1,12,146,146,3,147,148,2006.47826086957,2006.52173913043,0.702988958823452
-0.3,0,0.1,0.1,12,146,146,4,147,148,2006.47826086957,2006.52173913043,0.702988958823452
-0.3,0,0.1,0.1,12,146,146,5,147,148,2006.47826086957,2006.52173913043,0.702988958823452
-0.3,0,0.1,0.1,12,146,146,6,147,148,2006.47826086957,2006.52173913043,0.702988958823452
-0.2,0,0.1,0.1,12,146,146,1,147,NA,2006.47826086957,NA,0.876481302293386
-0.2,0,0.1,0.1,12,146,146,2,147,NA,2006.47826086957,NA,0.876481302293386
-0.2,0,0.1,0.1,12,146,146,3,147,149,2006.47826086957,2006.56521739130,0.876481302293386
-0.2,0,0.1,0.1,12,146,146,4,147,149,2006.47826086957,2006.56521739130,0.876481302293386
-0.2,0,0.1,0.1,12,146,146,5,147,149,2006.47826086957,2006.56521739130,0.876481302293386
-0.2,0,0.1,0.1,12,146,146,6,147,149,2006.47826086957,2006.56521739130,0.876481302293386
-0.1,0,0.1,0.1,12,146,146,1,147,NA,2006.47826086957,NA,1.00226920162029
-0.1,0,0.1,0.1,12,146,146,2,147,NA,2006.47826086957,NA,1.00226920162029
-0.1,0,0.1,0.1,12,146,146,3,147,NA,2006.47826086957,NA,1.00226920162029
-0.1,0,0.1,0.1,12,146,146,4,147,NA,2006.47826086957,NA,1.00226920162029
-0.1,0,0.1,0.1,12,146,146,5,147,151,2006.47826086957,2006.65217391304,1.00226920162029
-0.1,0,0.1,0.1,12,146,146,6,147,151,2006.47826086957,2006.65217391304,1.00226920162029
0,0,0.1,0.1,12,146,146,1,147,NA,2006.47826086957,NA,0.954998579941399
0,0,0.1,0.1,12,146,146,2,147,NA,2006.47826086957,NA,0.954998579941399
0,0,0.1,0.1,12,146,146,3,147,NA,2006.47826086957,NA,0.954998579941399
0,0,0.1,0.1,12,146,146,4,147,NA,2006.47826086957,NA,0.954998579941399
0,0,0.1,0.1,12,146,146,5,147,NA,2006.47826086957,NA,0.954998579941399
0,0,0.1,0.1,12,146,146,6,147,NA,2006.47826086957,NA,0.954998579941399
-0.5,0.5,0.1119,0.1,12,146,146,1,147,147,2006.47826086957,2006.47826086957,0.89247035661605
-0.5,0.5,0.1119,0.1,12,146,146,2,147,147,2006.47826086957,2006.47826086957,0.89247035661605
-0.5,0.5,0.1119,0.1,12,146,146,3,147,147,2006.47826086957,2006.47826086957,0.89247035661605
-0.5,0.5,0.1119,0.1,12,146,146,4,147,147,2006.47826086957,2006.47826086957,0.89247035661605
-0.5,0.5,0.1119,0.1,12,146,146,5,147,147,2006.47826086957,2006.47826086957,0.89247035661605
-0.5,0.5,0.1119,0.1,12,146,146,6,147,147,2006.47826086957,2006.47826086957,0.89247035661605
-0.4,0.5,0.112,0.1,12,146,146,1,147,147,2006.47826086957,2006.47826086957,0.911966427871712
