"dip","noisef","nrange","a","dfend","Lhistory","LStablehistory","nrdatamonitor","Tsim","Tmon","Dsim","Dmon","sn"
-0.5,0,0.1,0.3,12,146,146,1,147,147,2006.47826086957,2006.47826086957,2.99998332146021
-0.5,0,0.1,0.3,12,146,146,2,147,147,2006.47826086957,2006.47826086957,2.99998332146021
-0.5,0,0.1,0.3,12,146,146,3,147,147,2006.47826086957,2006.47826086957,2.99998332146021
-0.5,0,0.1,0.3,12,146,146,4,147,147,2006.47826086957,2006.47826086957,2.99998332146021
-0.5,0,0.1,0.3,12,146,146,5,147,147,2006.47826086957,2006.47826086957,2.99998332146021
-0.5,0,0.1,0.3,12,146,146,6,147,147,2006.47826086957,2006.47826086957,2.99998332146021
-0.4,0,0.1,0.3,12,146,22,1,147,23,2006.47826086957,2006.47826086957,2.99998332146016
-0.4,0,0.1,0.3,12,146,22,2,147,23,2006.47826086957,2006.47826086957,2.99998332146016
-0.4,0,0.1,0.3,12,146,22,3,147,23,2006.47826086957,2006.47826086957,2.99998332146016
-0.4,0,0.1,0.3,12,146,22,4,147,23,2006.47826086957,2006.47826086957,2.99998332146016
-0.4,0,0.1,0.3,12,146,22,5,147,23,2006.47826086957,2006.47826086957,2.99998332146016
-0.4,0,0.1,0.3,12,146,22,6,147,23,2006.47826086957,2006.47826086957,2.99998332146016
-0.3,0,0.1,0.3,12,146,146,1,147,NA,2006.47826086957,NA,2.00140535133831
-0.3,0,0.1,0.3,12,146,146,2,147,148,2006.47826086957,2006.52173913043,2.00140535133831
-0.3,0,0.1,0.3,12,146,146,3,147,148,2006.47826086957,2006.52173913043,2.00140535133831
-0.3,0,0.1,0.3,12,146,146,4,147,148,2006.47826086957,2006.52173913043,2.00140535133831
-0.3,0,0.1,0.3,12,146,146,5,147,148,2006.47826086957,2006.52173913043,2.00140535133831
-0.3,0,0.1,0.3,12,146,146,6,147,148,2006.47826086957,2006.52173913043,2.00140535133831
-0.2,0,0.1,0.3,12,146,146,1,147,NA,2006.47826086957,NA,2.99998332145985
-0.2,0,0.1,0.3,12,146,146,2,147,148,2006.47826086957,2006.52173913043,2.99998332145985
-0.2,0,0.1,0.3,12,146,146,3,147,148,2006.47826086957,2006.52173913043,2.99998332145985
-0.2,0,0.1,0.3,12,146,146,4,147,148,2006.47826086957,2006.52173913043,2.99998332145985
-0.2,0,0.1,0.3,12,146,146,5,147,148,2006.47826086957,2006.52173913043,2.99998332145985
-0.2,0,0.1,0.3,12,146,146,6,147,148,2006.47826086957,2006.52173913043,2.99998332145985
-0.1,0,0.1,0.3,12,146,146,1,147,NA,2006.47826086957,NA,1.99073400452652
-0.1,0,0.1,0.3,12,146,146,2,147,NA,2006.47826086957,NA,1.99073400452652
-0.1,0,0.1,0.3,12,146,146,3,147,NA,2006.47826086957,NA,1.99073400452652
-0.1,0,0.1,0.3,12,146,146,4,147,NA,2006.47826086957,NA,1.99073400452652
-0.1,0,0.1,0.3,12,146,146,5,147,NA,2006.47826086957,NA,1.99073400452652
-0.1,0,0.1,0.3,12,146,146,6,147,152,2006.47826086957,2006.69565217391,1.99073400452652
0,0,0.1,0.3,12,146,146,1,147,NA,2006.47826086957,NA,2.32708905600624
0,0,0.1,0.3,12,146,146,2,147,NA,2006.47826086957,NA,2.32708905600624
0,0,0.1,0.3,12,146,146,3,147,NA,2006.47826086957,NA,2.32708905600624
0,0,0.1,0.3,12,146,146,4,147,NA,2006.47826086957,NA,2.32708905600624
0,0,0.1,0.3,12,146,146,5,147,NA,2006.47826086957,NA,2.32708905600624
0,0,0.1,0.3,12,146,146,6,147,NA,2006.47826086957,NA,2.32708905600624
-0.5,0.5,0.115,0.3,12,146,146,1,147,147,2006.47826086957,2006.47826086957,2.65285734701352
-0.5,0.5,0.115,0.3,12,146,146,2,147,147,2006.47826086957,2006.47826086957,2.65285734701352
-0.5,0.5,0.115,0.3,12,146,146,3,147,147,2006.47826086957,2006.47826086957,2.65285734701352
-0.5,0.5,0.115,0.3,12,146,146,4,147,147,2006.47826086957,2006.47826086957,2.65285734701352
-0.5,0.5,0.115,0.3,12,146,146,5,147,147,2006.47826086957,2006.47826086957,2.65285734701352
-0.5,0.5,0.115,0.3,12,146,146,6,147,147,2006.47826086957,2006.47826086957,2.65285734701352
-0.4,0.5,0.1124,0.3,12,146,146,1,147,147,2006.47826086957,2006.47826086957,2.58031240919348
-0.4,0.5,0.1124,0.3,12,146,146,2,147,147,2006.47826086957,2006.47826086957,2.58031240919348
-0.4,0.5,0.1124,0.3,12,146,146,3,147,147,2006.47826086957,2006.47826086957,2.58031240919348
-0.4,0.5,0.1124,0.3,12,146,146,4,147,147,2006.47826086957,2006.47826086957,2.58031240919348
-0.4,0.5,0.1124,0.3,12,146,146,5,147,147,2006.47826086957,2006.47826086957,2.58031240919348
-0.4,0.5,0.1124,0.3,12,146,146,6,147,147,2006.47826086957,2006.47826086957,2.58031240919348
-0.3,0.5,0.1106,0.3,12,146,146,1,147,NA,2006.47826086957,NA,2.74963772110771
-0.3,0.5,0.1106,0.3,12,146,146,2,147,148,2006.47826086957,2006.52173913043,2.74963772110771
-0.3,0.5,0.1106,0.3,12,146,146,3,147,148,2006.47826086957,2006.52173913043,2.74963772110771
-0.3,0.5,0.1106,0.3,12,146,146,4,147,148,2006.47826086957,2006.52173913043,2.74963772110771
-0.3,0.5,0.1106,0.3,12,146,146,5,147,148,2006.47826086957,2006.52173913043,2.74963772110771
-0.3,0.5,0.1106,0.3,12,146,146,6,147,148,2006.47826086957,2006.52173913043,2.74963772110771
-0.2,0.5,0.112,0.3,12,146,146,1,147,NA,2006.47826086957,NA,2.60421192830469
-0.2,0.5,0.112,0.3,12,146,146,2,147,148,2006.47826086957,2006.52173913043,2.60421192830469
-0.2,0.5,0.112,0.3,12,146,146,3,147,148,2006.47826086957,2006.52173913043,2.60421192830469
-0.2,0.5,0.112,0.3,12,146,146,4,147,148,2006.47826086957,2006.52173913043,2.60421192830469
-0.2,0.5,0.112,0.3,12,146,146,5,147,148,2006.47826086957,2006.52173913043,2.60421192830469
-0.2,0.5,0.112,0.3,12,146,146,6,147,148,2006.47826086957,2006.52173913043,2.60421192830469
-0.1,0.5,0.113,0.3,12,146,146,1,147,NA,2006.47826086957,NA,2.67943140132357
-0.1,0.5,0.113,0.3,12,146,146,2,147,NA,2006.47826086957,NA,2.67943140132357
-0.1,0.5,0.113,0.3,12,146,146,3,147,NA,2006.47826086957,NA,2.67943140132357
-0.1,0.5,0.113,0.3,12,146,146,4,147,NA,2006.47826086957,NA,2.67943140132357
-0.1,0.5,0.113,0.3,12,146,146,5,147,151,2006.47826086957,2006.65217391304,2.67943140132357
-0.1,0.5,0.113,0.3,12,146,146,6,147,151,2006.47826086957,2006.65217391304,2.67943140132357
0,0.5,0.1128,0.3,12,146,146,1,147,NA,2006.47826086957,NA,2.62963816591133
0,0.5,0.1128,0.3,12,146,146,2,147,NA,2006.47826086957,NA,2.62963816591133
0,0.5,0.1128,0.3,12,146,146,3,147,NA,2006.47826086957,NA,2.62963816591133
0,0.5,0.1128,0.3,12,146,146,4,147,NA,2006.47826086957,NA,2.62963816591133
0,0.5,0.1128,0.3,12,146,146,5,147,NA,2006.47826086957,NA,2.62963816591133
0,0.5,0.1128,0.3,12,146,146,6,147,NA,2006.47826086957,NA,2.62963816591133
-0.5,1,0.1243,0.3,12,146,146,1,147,147,2006.47826086957,2006.47826086957,2.48921579160574
-0.5,1,0.1243,0.3,12,146,146,2,147,147,2006.47826086957,2006.47826086957,2.48921579160574
-0.5,1,0.1243,0.3,12,146,146,3,147,147,2006.47826086957,2006.47826086957,2.48921579160574
-0.5,1,0.1243,0.3,12,146,146,4,147,147,2006.47826086957,2006.47826086957,2.48921579160574
-0.5,1,0.1243,0.3,12,146,146,5,147,147,2006.47826086957,2006.47826086957,2.48921579160574
-0.5,1,0.1243,0.3,12,146,146,6,147,147,2006.47826086957,2006.47826086957,2.48921579160574
-0.4,1,0.1328,0.3,12,146,146,1,147,147,2006.47826086957,2006.47826086957,2.24113117913818
-0.4,1,0.1328,0.3,12,146,146,2,147,147,2006.47826086957,2006.47826086957,2.24113117913818
-0.4,1,0.1328,0.3,12,146,146,3,147,147,2006.47826086957,2006.47826086957,2.24113117913818
-0.4,1,0.1328,0.3,12,146,146,4,147,147,2006.47826086957,2006.47826086957,2.24113117913818
-0.4,1,0.1328,0.3,12,146,146,5,147,147,2006.47826086957,2006.47826086957,2.24113117913818
-0.4,1,0.1328,0.3,12,146,146,6,147,147,2006.47826086957,2006.47826086957,2.24113117913818
-0.3,1,0.1242,0.3,12,146,146,1,147,NA,2006.47826086957,NA,2.48028556024613
-0.3,1,0.1242,0.3,12,146,146,2,147,148,2006.47826086957,2006.52173913043,2.48028556024613
-0.3,1,0.1242,0.3,12,146,146,3,147,148,2006.47826086957,2006.52173913043,2.48028556024613
-0.3,1,0.1242,0.3,12,146,146,4,147,148,2006.47826086957,2006.52173913043,2.48028556024613
-0.3,1,0.1242,0.3,12,146,146,5,147,148,2006.47826086957,2006.52173913043,2.48028556024613
-0.3,1,0.1242,0.3,12,146,146,6,147,148,2006.47826086957,2006.52173913043,2.48028556024613
-0.2,1,0.1261,0.3,12,146,146,1,147,NA,2006.47826086957,NA,2.35140264211690
-0.2,1,0.1261,0.3,12,146,146,2,147,NA,2006.47826086957,NA,2.35140264211690
-0.2,1,0.1261,0.3,12,146,146,3,147,149,2006.47826086957,2006.56521739130,2.35140264211690
-0.2,1,0.1261,0.3,12,146,146,4,147,149,2006.47826086957,2006.56521739130,2.35140264211690
-0.2,1,0.1261,0.3,12,146,146,5,147,149,2006.47826086957,2006.56521739130,2.35140264211690
-0.2,1,0.1261,0.3,12,146,146,6,147,149,2006.47826086957,2006.56521739130,2.35140264211690
-0.1,1,0.1326,0.3,12,146,146,1,147,NA,2006.47826086957,NA,2.2234919781527
-0.1,1,0.1326,0.3,12,146,146,2,147,NA,2006.47826086957,NA,2.2234919781527
-0.1,1,0.1326,0.3,12,146,146,3,147,NA,2006.47826086957,NA,2.2234919781527
-0.1,1,0.1326,0.3,12,146,146,4,147,150,2006.47826086957,2006.60869565217,2.2234919781527
-0.1,1,0.1326,0.3,12,146,146,5,147,150,2006.47826086957,2006.60869565217,2.2234919781527
-0.1,1,0.1326,0.3,12,146,146,6,147,150,2006.47826086957,2006.60869565217,2.2234919781527
0,1,0.129,0.3,12,146,146,1,147,NA,2006.47826086957,NA,2.26373999782874
0,1,0.129,0.3,12,146,146,2,147,NA,2006.47826086957,NA,2.26373999782874
0,1,0.129,0.3,12,146,146,3,147,NA,2006.47826086957,NA,2.26373999782874
0,1,0.129,0.3,12,146,146,4,147,NA,2006.47826086957,NA,2.26373999782874
0,1,0.129,0.3,12,146,146,5,147,NA,2006.47826086957,NA,2.26373999782874
0,1,0.129,0.3,12,146,146,6,147,NA,2006.47826086957,NA,2.26373999782874
-0.5,1.5,0.1326,0.3,12,146,146,1,147,NA,2006.47826086957,NA,2.54641347499576
-0.5,1.5,0.1326,0.3,12,146,146,2,147,148,2006.47826086957,2006.52173913043,2.54641347499576
-0.5,1.5,0.1326,0.3,12,146,146,3,147,148,2006.47826086957,2006.52173913043,2.54641347499576
-0.5,1.5,0.1326,0.3,12,146,146,4,147,148,2006.47826086957,2006.52173913043,2.54641347499576
-0.5,1.5,0.1326,0.3,12,146,146,5,147,148,2006.47826086957,2006.52173913043,2.54641347499576
-0.5,1.5,0.1326,0.3,12,146,146,6,147,148,2006.47826086957,2006.52173913043,2.54641347499576
-0.4,1.5,0.146,0.3,12,146,146,1,147,NA,2006.47826086957,NA,1.80889747497468
-0.4,1.5,0.146,0.3,12,146,146,2,147,148,2006.47826086957,2006.52173913043,1.80889747497468
-0.4,1.5,0.146,0.3,12,146,146,3,147,148,2006.47826086957,2006.52173913043,1.80889747497468
-0.4,1.5,0.146,0.3,12,146,146,4,147,148,2006.47826086957,2006.52173913043,1.80889747497468
-0.4,1.5,0.146,0.3,12,146,146,5,147,148,2006.47826086957,2006.52173913043,1.80889747497468
-0.4,1.5,0.146,0.3,12,146,146,6,147,148,2006.47826086957,2006.52173913043,1.80889747497468
-0.3,1.5,0.1349,0.3,12,146,146,1,147,NA,2006.47826086957,NA,2.00981072641729
